pair_id,obstacle_vertices,robot_vertices,min_distance
244-3,52,8,213.497474
245-3,69,8,212.745150
246-0,28,6,213.497474
247-0,78,6,212.745150
248-1,18,7,350.293757
249-4,6,3,234.569664
250-0,63,6,213.497474
251-2,86,5,212.745150
252-0,16,6,350.293757
253-4,24,3,174.496508
254-2,19,5,213.497474
255-0,72,6,212.745150
256-1,66,7,213.497474
257-0,61,6,213.497474
258-1,30,7,213.497474
259-3,32,8,213.497474
260-1,6,7,350.293757
261-2,61,5,213.497474
262-4,78,3,174.496508
263-2,68,5,212.745150
264-1,28,7,213.497474
265-3,64,8,213.497474
266-2,57,5,213.497474
267-2,60,5,213.497474
268-1,31,7,213.497474
269-2,49,5,213.497474
270-3,50,8,213.497474
271-2,89,5,212.745150
272-4,75,3,174.496508
273-0,40,6,213.497474
274-2,54,5,213.497474
275-4,40,3,174.622824
276-0,9,6,350.293757
277-3,88,8,212.745150
278-0,20,6,213.497474
279-3,59,8,213.497474
280-0,16,6,350.293757
281-2,9,5,350.293757
282-4,75,3,174.496508
283-2,84,5,212.745150
284-4,45,3,174.622824
285-3,100,8,212.745150
286-4,92,3,174.496508
287-0,54,6,213.497474
288-3,17,8,350.293757
289-0,76,6,212.745150
290-2,76,5,212.745150
291-4,41,3,174.622824
292-1,97,7,212.745150
293-4,10,3,294.487232
294-3,13,8,350.293757
295-1,70,7,212.745150
296-3,20,8,213.497474
297-2,54,5,213.497474
298-3,72,8,212.745150
299-1,6,7,350.293757
300-1,58,7,213.497474
301-1,13,7,350.293757
302-0,15,6,350.293757
303-3,95,8,212.745150
304-0,5,6,350.293757
305-4,100,3,174.496508
306-0,85,6,212.745150
307-0,25,6,213.497474
308-0,9,6,350.293757
309-0,34,6,213.497474
310-2,45,5,213.497474
311-0,34,6,213.497474
312-3,70,8,212.745150
313-4,31,3,174.622824
314-2,63,5,213.497474
315-0,25,6,213.497474
316-0,68,6,212.745150
317-1,27,7,213.497474
318-4,20,3,174.496508
319-0,21,6,213.497474
320-0,52,6,213.497474
321-2,88,5,212.745150
322-4,25,3,174.496508
323-0,24,6,213.497474
324-0,24,6,213.497474
325-0,68,6,212.745150
326-2,61,5,213.497474
327-3,46,8,213.497474
328-4,28,3,174.496508
329-4,68,3,174.496508
330-1,27,7,213.497474
331-2,83,5,212.745150
332-1,44,7,213.497474
333-1,21,7,213.497474
334-1,10,7,350.293757
335-1,8,7,350.293757
336-4,92,3,174.496508
337-0,70,6,212.745150
338-1,23,7,213.497474
339-0,94,6,212.745150
340-0,75,6,212.745150
341-0,34,6,213.497474
342-0,12,6,350.293757
343-4,34,3,174.622824
344-0,26,6,213.497474
345-4,60,3,174.622824
346-0,43,6,213.497474
347-0,54,6,213.497474
348-2,38,5,213.497474
349-0,57,6,213.497474
350-1,48,7,213.497474
351-3,42,8,213.497474
352-1,5,7,350.293757
353-2,81,5,212.745150
354-4,89,3,174.496508
355-3,28,8,213.497474
356-1,94,7,212.745150
357-0,22,6,213.497474
358-0,97,6,212.745150
359-1,18,7,350.293757
360-4,75,3,174.496508
361-4,90,3,174.496508
362-4,17,3,280.449139
363-4,19,3,174.496508
364-0,55,6,213.497474
365-2,63,5,213.497474
366-2,64,5,213.497474
367-3,84,8,212.745150
368-0,68,6,212.745150
369-3,52,8,213.497474
370-0,43,6,213.497474
371-3,7,8,294.487232
372-2,95,5,212.745150
373-0,88,6,212.745150
374-4,21,3,174.496508
375-4,51,3,174.622824
376-4,19,3,174.496508
377-1,67,7,213.497474
378-3,77,8,212.745150
379-3,91,8,212.745150
380-4,33,3,174.622824
381-1,21,7,213.497474
382-0,58,6,213.497474
383-0,52,6,213.497474
384-4,6,3,234.569664
385-2,88,5,212.745150
386-1,43,7,213.497474
387-3,50,8,213.497474
388-4,77,3,174.496508
389-1,28,7,213.497474
390-0,83,6,212.745150
391-1,13,7,350.293757
392-0,99,6,212.745150
393-1,99,7,212.745150
394-0,51,6,213.497474
395-2,88,5,212.745150
396-3,59,8,213.497474
